Zachary A. Krantz, CFP®
Scot E. Karr, CFP®
Barbara A. Harger, CFP®
David M. Nelson, CFP®
Edouard Emile G. Begin, CFP®
Anthony J. Kowalski, CFP®
Janet Zhang, CFP®
Matthew E. Schwartz, CFP®
Stephen G. Rombro, CFP®
David W. Feeley, CFP®
Russell B. Simmons, CFP®
Pamela N. Basse, CFP®
Sean G. Lutz, CFP®
Tracey D. Halvorson, CFP®
Stephen Half, CFP®
Conor  Quick, CFP®
Kevin M. Richardson, CFP®
Christopher M. Bodney, CFP®
NICHOLAS DENEAULT, CFP®
Margaret Carmody, CFP®
Nicholas H. Raffetto, CFP®
Kaylyn Adams, CFP®
David A. Ventura, CFP®
Mark B. Gerst, CFP®
Kyle Kvalheim, CFP®
Glenn H. Hermanson, CFP®
Andrew T. Le, CFP®
Peter F. Lynch, CFP®
Kari Larocco, CFP®
Donna Trainor, CFP®
Shane M. Baack, CFP®
Joseph E. Dewhart, CFP®
Adam  L. Park, CFP®
Rafael J. Perez, CFP®
Charles R. Lesser, CFP®
David C. Monckton, CFP®
Richard L. Hill, CFP®
Nathaniel A. Raschke, CFP®
Holly S. Galbrecht, CFP®
Marvin J. Peterson, CFP®
Michael A. Davis, CFP®
Jay D. Westmoreland, CFP®
Mark H. Johnson, CFP®
Anthony F. Rando, CFP®
Michael R. Daly, CFP®
Darlene M. Murphy, CFP®
Robert E. Ducey, CFP®
Benjamin E. Goldstein, CFP®
Jacqueline J. Hewett, CFP®
George W. Hunter, CFP®
Daniel E. Antioho, CFP®
Zachary Lopez, CFP®
Matthew Litzler, CFP®
Matthew E. Chope, CFP®
Travis A. Jensen, CFP®
Nancy A. pasquariello, CFP®
Jeffrey A. Stewart, CFP®
Sarah A. Tinkler, CFP®
Kathryn L. Parkins, CFP®
R. P. Moroukian, CFP®
Kay M. Knuth, CFP®
David Van Meter, CFP®
Rebecca J. Albers, CFP®
Zachary T. Armstrong, CFP®
David Dahl, CFP®
Jonathan Mclean, CFP®
Janis S. Sleeter, CFP®
Shane  Dayton, CFP®
Thomas Wu, CFP®
Heath P. Abernathy, CFP®
David F. Wilson, CFP®
James P. Mason, CFP®
Andrew Halpern, CFP®
Brant A. Rustich, CFP®
Daniela L. Aviles, CFP®
John A. Kramer, CFP®
Luke J. Violette, CFP®
Kyle D. Powers, CFP®
Jonathan S. Phillips, CFP®
Jian W. Fu, CFP®
Anthony S. Bacarella, CFP®
Debra A. Fournier, CFP®
John P. Kamprath, CFP®
John P. Daly, CFP®
Jonathan C. Brandt, CFP®
Nicholas A. Peterson, CFP®
Christopher M. O'Grady, CFP®
Lu Yu, CFP®
Jonathan A. Horsman, CFP®
Mathew E. Greene, CFP®
Robert V. Grillo, CFP®
Michael F. Aboussie, CFP®
Matthew J. Antos, CFP®
Christopher McLaughlin, CFP®
Michael S. Hohf, CFP®
Alyssa B. Morley, CFP®
Jeffrey M. Steiner, CFP®
Jeffrey L. Halbreich, CFP®
Richard Juckel, CFP®
Marc A. Young, CFP®
Blake C. Mattson, CFP®
Dan Andrew, CFP®
Nickolas E. Wann, CFP®
Albert L. Wu, CFP®
Ryan M. Malone, CFP®
Ryan C. Smith, CFP®
Patrick Kuster, CFP®
Matthew Grabner, CFP®
Thomas Furda, CFP®
Matthew Godfroy, CFP®
Jesse C. Serra, CFP®
Kellie Raasch, CFP®
Thomas R. Griffith, CFP®
Monica E. Felton, CFP®
Stephen J. Landersman, CFP®
Frederick C. Miller, CFP®
Jack B. Priebe, CFP®
Prasad Oak, CFP®
Ian P. Arellano, CFP®
Ian W. Davis, CFP®
Gerard A. Ransing, CFP®
Kendle F. Smith, CFP®
Aaron D. Adams, CFP®
David B. Gossett, CFP®
William M. Elwell, CFP®
Hussein A. Essayli, CFP®
Lauren E. Higgins, CFP®
Paul S. Devore, CFP®
John B. Rogers, CFP®
Patrick Ricketts, CFP®
Jason E. Chamberlain, CFP®
Steven M. Lehman, CFP®
David P. Weidman, CFP®
Jennifer S. Wagnerowski, CFP®
Kyle Olson, CFP®
Robert E. Downey, CFP®
Daniel T. Foran, CFP®
David A. Knox, CFP®
Avi Finkelstein, CFP®
Sara L. Tilberg, CFP®
Sarah C. Simmer, CFP®
Scott DeNeen, CFP®
Wanda H. Neislar, CFP®
Judith C. Slawsky, CFP®
Nathanael Pacheco, CFP®
Daniel C. Novak, CFP®
John T. Hamman, CFP®
Laurie S. Hasso, CFP®
Jeffrey A. Darter, CFP®
Kenneth J. Paull, CFP®
JIALI CHEN, CFP®
Andrew Glassman, CFP®
Hema Joshi, CFP®
Joseph D. Altic, CFP®
Alan Eskandari, CFP®
Roy E. Holland, CFP®
Kenneth A. Diehl, CFP®
Wenma  Gorman, CFP®
Kelly A. Kruse, CFP®
John F. Mullen, CFP®
Stephen W. Walker, CFP®
Kyle Backus, CFP®
William P. Alexander, CFP®
Rita R. Brown, CFP®
Asher Booz, CFP®
Katie A. Lenz, CFP®
Jayme K. Burk, CFP®
James F. Harvey, CFP®
Anne M. Ward, CFP®
Dana G. Hastings, CFP®
Brendon J. Pierson, CFP®
Sarah J. Zvekan, CFP®
Nickles G. Spryn, CFP®
Ryan M. Safko, CFP®
Michael S. Finer, CFP®
Michael J. Kuenster, CFP®
Kyle D. Reise, CFP®
J. K. Stophel, CFP®
Nathan Gunderson, CFP®
William Bowie, CFP®
Benjamin T. Hopper, CFP®
Dylan Camp, CFP®
Richard V. DiMaio, CFP®
Christopher J. McGarvey, CFP®
Jennifer S. Schrauder, CFP®
Dean S. Bennion, CFP®
Alexandria N. Harris, CFP®
John M. Zinaich, CFP®
Michael G. Fleege, CFP®
Aaron S. Broz, CFP®
Juelmarie T. Morgan, CFP®
Bryan J. Costin, CFP®
Michael T. Fox, CFP®
Zachary B. Benning, CFP®
Michael W. Balderson, CFP®
Todd W. Reed, CFP®
Wendy Loch, CFP®
Christopher W. Severson, CFP®
Nicola S. Patullo, CFP®
Rachel M. Betzwieser, CFP®
Carli Harvey, CFP®
Gregory  F. Murphy, CFP®
Alexandre R. Blagojevic, CFP®
Elliott H. Johnson, CFP®
James P. Stites, CFP®
Charles A. Massie, CFP®
Eric C. Brown, CFP®
John A. Kovalek, CFP®
James K. Daley, CFP®
Donna M. Andrews, CFP®
Robert J. Glew, CFP®
Maria Castillo Dominguez, CFP®
Patricia L. Rosendahl, CFP®
Archie P. Kangethe, CFP®
Garren Agle, CFP®
Kimberly F. Perreira, CFP®
Lance E. Woodburn, CFP®
Brian W. Schilling, CFP®
David W. Diehl, CFP®
Jeffrey B. Dortch, CFP®
Roddy B. Loveless, CFP®
Mallory K. Griffin, CFP®
Naveen P. Sharma, CFP®
David Espineira, CFP®
Tony A. Bails, CFP®
Patrick Scherer, CFP®
Joseph Kotran, CFP®
Erin L. Eddins, CFP®
Daniel A. Humbert, CFP®
Steven H. Lind, CFP®
Michael K. McCourt, CFP®
Patti H. Puckett, CFP®
Joseph S. Fanucchi, CFP®
David C. Bunce, CFP®
Richard A. Bone, CFP®
Alfred R. Bozzo, CFP®
Lawrence M. Taylor, CFP®
Dennis F. Kratohwil, CFP®
Mary L. Loggins, CFP®
Daniel A. Dupuis, CFP®
Christopher W. Breen, CFP®
James R. Wright, CFP®
Jason Ruel, CFP®
Christopher R. Steele, CFP®
John R. Woravka, CFP®
Louis M. Jimenez, CFP®
Elliot J. Park, CFP®
Dwayne Snyder, CFP®
Beth A. Eldridge, CFP®
Steven A. Rothman, CFP®
Jeffrey T. Pauza, CFP®
Ryan P. O'Connor, CFP®
Brian  L. Heithoff, CFP®
Nedra E. Mitchell, CFP®
Lucia B. Reed, CFP®
Kelly Cooper, CFP®
Bryan Cooney, CFP®
Geoffrey Doro, CFP®
Pete Crowell, CFP®
Michael J. LoNano, CFP®
Dennis M. Doble, CFP®
Rene P. de Charon, CFP®
Jordan E. Berryhill, CFP®
John w. Broderick, CFP®
Timothy J. Rice, CFP®
Kevin M. Fields, CFP®
Erle M. Petrie, CFP®
Matthew E. Heitman, CFP®
Danqin Fang, CFP®
Jaime T. Fukumae, CFP®
Ryan Thompson, CFP®
Greg L. Chaplin, CFP®
Brandon S. Fair, CFP®
Joel D. Heimbigner, CFP®
Aleea M. McGuire, CFP®
Jay Lasser, CFP®
Jeremy D. Reed, CFP®
Matthew S. Benjamin, CFP®
Samuel Z. Lindemann, CFP®
Bryan K. Baines, CFP®
Cristine M. Marik, CFP®
Johanna F. Seenath, CFP®
Kevin Greiss, CFP®
Kristofer R. Gray, CFP®
Jeffrey W. Londeck, CFP®
Robert N. Caird, CFP®
Kevin J. Galvin, CFP®
Todd R. Amacher, CFP®
Jeffrey Bernfeld, CFP®
Maureen K. Demers, CFP®
Micheal Taylor, CFP®
Richard H. Panchookian, CFP®
Brian D. Copeland, CFP®
Matthew G. Jones, CFP®
Brian G. Winnen, CFP®
Peter D. Tillinghast, CFP®
Brandon S. Falbe, CFP®
Rebecca S. Sorensen, CFP®
James H. Morgan, CFP®
Massimo L. Ballatori, CFP®
Logan Maier, CFP®
Don J. Connot, CFP®
Debbie L. Montgomery, CFP®
George W. Mays, CFP®
Craig Novosel-Johnson, CFP®
Darryn C. Young, CFP®
Laura E. Brantley, CFP®
James A. Crenna, CFP®
Brian Torgerson, CFP®
Peter A. Nagy, CFP®
Kevin P. Mayer, CFP®
Joe A. Dillon, CFP®
Michael V. Brown, CFP®
Jason  J. Willner, CFP®
Abraham Amador-Lindner, CFP®
Kyle S. Scott, CFP®
Justin R. Gomez, CFP®
Alan R. Tompesku, CFP®
Robert M. Taylor, CFP®
Marc H. Stone, CFP®
David P. Anderson, CFP®
William Manch, CFP®
Melissa Greer, CFP®
Matthew Weaver, CFP®
Connie Can, CFP®
Carl W. Vail, CFP®
Lindsey A. Prokay , CFP®
Jon M. Michelizzi, CFP®
Mark J. Dunlea, CFP®
Egan C. Rosell, CFP®
Michael Nicoletti, CFP®
Andrew Hoang, CFP®
Mark Boyer, CFP®
David L. Welland, CFP®
J. H. Williams, CFP®
James F. Adair III, CFP®
Ryan Shorey, CFP®
Gaston G. Escudero, CFP®
William H. Cox, CFP®
Jennifer Y. Lee, CFP®
Patrick N. Dunston, CFP®
Matthew Loftus, CFP®
Edward R. Riepe, CFP®
DEANNA CONERLY, CFP®
Perry A. Zeigler, CFP®
SAMANTHA S. MAYSONET, CFP®
Peter J. Costello, CFP®
Nathan Smart, CFP®
Neza Gallitano, CFP®
Marci E. Moore, CFP®
Edward S. Ferguson, CFP®
Steven  E. Richardson, CFP®
MICHAEL V. GIORDANO, CFP®
Vida M. Jatulis, CFP®
Timothy Thielen, CFP®
William E. Wheeler, CFP®
Matthew S. Clement, CFP®
Jane P. Page, CFP®
Mia L. Hyatt, CFP®
Michele Pacitto, CFP®
George Papadopoulos, CFP®
Raymond L. Wellspeak, CFP®
Navneet Pahal, CFP®
Timothy P. Derouin, CFP®
Daniel K. O'Doherty, CFP®
Patrick J. Sweeney, CFP®
Michael J. Cousineau, CFP®
Andrew D. Cuckie, CFP®
Eileen L. Loustau, CFP®
Mark Mohtashemi, CFP®
Roger L. O'Quin, CFP®
Jonathan Liang, CFP®
Johnny  B. Babb, CFP®
Charles M. Beynon, CFP®
Louis Porta, CFP®
Lloyd H. Davis, CFP®
Douglas M. White, CFP®
Corey B. Woodhead, CFP®
Christopher A. Reynolds, CFP®
Brian  M. Cunningham , CFP®
Dawn Mabery Chestnut, CFP®
Paul E. Kranich, CFP®
Robert S. Sherlock, CFP®
Eric C. Beittel, CFP®
Shelley L. Nelson, CFP®
Chris A. Eagles-Smith, CFP®
Benjamin C. Steele, CFP®
Kyle Hawthorne, CFP®
Aaron M. Gabriel, CFP®
Ryan Farmin, CFP®
Terri S. Brown, CFP®
Larry Bies, CFP®
Cory Paton, CFP®
Lindsey D. Swanson, CFP®
Paul B. Stepankovskiy, CFP®
Catheryne B. DiPrete, CFP®
Julia Karasik, CFP®
John J. D'Amico, CFP®
Thomas F. Lynch, CFP®
Jason R. Garey, CFP®
Kerry M. Chatham, CFP®
Michael R. Macius, CFP®
David W. Lowe, CFP®
David  R. Reilly, CFP®
Michael J. Buise, CFP®
Lindsay A. Yarnell, CFP®
Patrick J. Moylan, CFP®
Michael  Rozofsky, CFP®
Jay C. Sackett, CFP®
Brian P. Merrick, CFP®
Robert J. Woerner, CFP®
Samuel S. Villarreal, CFP®
Bradley D. Rempe, CFP®
Jacques A. Bolivar, CFP®
Brian W. Mallette, CFP®
Tiffany L. Walker, CFP®
Hunter R. Gottwald, CFP®
William H. Keffer, CFP®
John (. Hanlon, CFP®
C. S. Johnson, CFP®
John W. Heavey, CFP®
Michael Beck, CFP®
I. D. Plaza, CFP®
Jay E. Barish, CFP®
Brian L. Taylor, CFP®
Tina M. Williams, CFP®
Nicholas  B. Pope, CFP®
Matthew Papandrea, CFP®
Susan M. Cyberski, CFP®
Lindsey A. Hess, CFP®
Kelly E. Carpenter, CFP®
Paul D. Penzel, CFP®
Blenda A. Raynor, CFP®
Michael W. Hanna, CFP®
Robert S. Stewart, CFP®
Thomas Bardwell, CFP®
Brian Hill, CFP®
James F. Schlager, CFP®
Thad J. Pike, CFP®
David M. Amann, CFP®
Timothy Leach, CFP®
Mark W. Kooiman, CFP®
Matthew R. Zettel, CFP®
Sarah F. Hessler, CFP®
Brandon C. Justus, CFP®
Harold C. Anderson, CFP®
Joseph M. Feichtel, CFP®
Roshan A. Loungani, CFP®
Connie Walsh-Toler, CFP®
Troy W. Taylor, CFP®
Jessica G. Pariser, CFP®
Mark A. Beaver, CFP®
Joseph M. O'Sullivan, CFP®
Tamara J. Sytsma, CFP®
Jim Spanarkel, CFP®
Damian S. Aldridge, CFP®
Chris J. Ohnstad, CFP®
Michael J. Callahan, CFP®
Nicholas Duepner, CFP®
Robert Campbell, CFP®
melinda s. satterlee, CFP®
Matthew W. Feldhaus, CFP®
Victor J. Adint, CFP®
Victoria Burress, CFP®
James C. Purnell, CFP®
Christian J. DiRusso, CFP®
Kari L. Pel, CFP®
Jessica P. Donnerstein, CFP®
Justin H. Lesch, CFP®
James L. Roundy, CFP®
Gregory W. Swanson, CFP®
Charles F. Hogan, CFP®
Christopher J. Cowart, CFP®
Malgorzata Guziak, CFP®
Michael R. Haughery, CFP®
Lorraine B. Calcote, CFP®
Robert T. Post, CFP®
Lily Lu, CFP®
Frederic S. Claghorn, CFP®
Mark Romin, CFP®
Cary Piligian, CFP®
Renn Olsen, CFP®
Jose L. Trevino, CFP®
Mark  C. Vivian, CFP®
Tracy H. Zhang, CFP®
Valerie A. Janke, CFP®
Kristopher W. Matheson, CFP®
David A. Saltzman, CFP®
Anthony L. Vecchiarelli, CFP®
Kalen D. Baxter, CFP®
Savanna Brown, CFP®
Carol A. Bates, CFP®
Lisa Shaw, CFP®
JAMIE W. MCDONALD, CFP®
Eric Bryan, CFP®
Kyle A. Beeson, CFP®
Alex J. Jacobs, CFP®
Chad L. Marshall, CFP®
Steven Kinney, CFP®
Dax Campbell, CFP®
Jeffrey S. Hagen, CFP®
Anthony D. Schutte, CFP®
Spencer B. Larson, CFP®
Kevin Z. Swad, CFP®
Bethany Ketron, CFP®
Natalie McMahon, CFP®
L E. Hail, CFP®
Sally Cai, CFP®
Cynthia Jabr, CFP®
David L. Tuebner, CFP®
Nicholas Woods, CFP®
John A. Arrick, CFP®
Martin M. Meyers, CFP®
Stephen Vircks, CFP®
Andrew Fairman, CFP®
Kurt D. Jonson, CFP®
Michael V. Deer, CFP®
Cole E. Backstrom, CFP®
James S. Ibach, CFP®
Gina Wu, CFP®
Joseph P. Preddy, CFP®
Emily A. Wiedeman, CFP®
Samir C. Thakkar, CFP®
Stephen W. Gierl, CFP®
Eric W. Hilliard, CFP®
Lea Ann Knight, CFP®
Mehrdad Taghdiri, CFP®
Christopher P. Smith, CFP®
Thomas E. Gerhart, CFP®
Christopher R. Mohring, CFP®
Travis J. Liles, CFP®
Stephen S. Elliott, CFP®
Daniel  A. Keith, CFP®
Chad  M. Darr, CFP®
Michael C. Fox, CFP®
Michael Spelman , CFP®
Tim Shrewsbury, CFP®
Randall R. Densmore, CFP®
Calvin D. Jones, CFP®
James B. Lowther, CFP®
Michelle P. Lin, CFP®
Michael B. Glackin, CFP®
Deidra E. Willis, CFP®
Kirk Weichsel, CFP®
Joshua M. Procaccini, CFP®
Debra Schneider, CFP®
Michael J. Pohl, CFP®
David A. Ritter, CFP®
Lynn A. DeRouen, CFP®
Daniel N. Saba, CFP®
Toshiaki Mitsudome, CFP®
Branch P. Lawson, CFP®
Christopher W. Pascale, CFP®
Linda A. Vu, CFP®
Nickolas Prieto, CFP®
Paul Cantor, CFP®
Jed M. Inzerella, CFP®
Danielle F. Grande, CFP®
Kevin A. Lenox, CFP®
Bogdan Korszen, CFP®
Kevin R. Rose, CFP®
Matthew Trontel, CFP®
Keith G. Burck, CFP®
Christopher Skutnik, CFP®
Samuel M. Clark, CFP®
Seta Keshishian, CFP®
David Ruedi, CFP®
Sean Lacey, CFP®
Richard A. Nitz, CFP®
Cole R. Brooks, CFP®
Oliver A. Cervantes, CFP®
Thomas Morr, CFP®
Heidi G. Clute, CFP®
David A. Steinmetz, CFP®
Kelley Selph, CFP®
Dannell R. Stuart, CFP®
Brian M. Bergman, CFP®
Kelly S. Arias, CFP®
James M. Madigan, CFP®
Deborah L. Minnick, CFP®
William N. Gaston, CFP®
Ron R. Bibler, CFP®
Andrea Argue, CFP®
Audrey E. Grubman, CFP®
Karl H. Dimler, CFP®
Christopher J. Reeves, CFP®
Steven T. Jacques, CFP®
Connor L. Sullivan, CFP®
Robert A. Patronete, CFP®
Derek Ripp, CFP®
Jaycob Keuning, CFP®
Sameer J. Sudame, CFP®
Jason Wright, CFP®
James M. Collier, CFP®
Miguel Carneiro, CFP®
Jason M. Alderson, CFP®
Kara R. Morin, CFP®
Brett A. Spencer, CFP®
Michael S. Ginsberg, CFP®
Michael A. Solari, CFP®
Alex Jensen, CFP®
Matthew Iantosca, CFP®
Thomas Buskey, CFP®
Christopher N. Perry, CFP®
Kristiana M. Shipway, CFP®
Adam L. Hecht, CFP®
Arthur P. Wright, CFP®
J. Terence Gallagher, CFP®
Gregory T. Rosa, CFP®
James D. Dykes, CFP®
Ryan D. Johnsen, CFP®
Matthew Bruce, CFP®
Clinton W. Wammack, CFP®
Gregory T. Barkauskas, CFP®
Michael E. Foster, CFP®
Dennis L. Jackson, CFP®
Steven M. Clisch, CFP®
Olaf B. Kinstler, CFP®
Jordan Boyle, CFP®
William I. Hargett, CFP®
Michaela F. Scott, CFP®
William A. Short, CFP®
Thomas J. Catalano, CFP®
Christopher D. White, CFP®
David J. Herber, CFP®
John M. McLaughlin, CFP®
Amanda L. Herrick Smith  , CFP®
Ryan M. Dunlap, CFP®
Steven T. Novotny, CFP®
Robert Warren, CFP®
Nina L. Lindsay, CFP®
John  O. Leatherwood, CFP®
Joy J. Watkins, CFP®
Brian N. Ober, CFP®
Colton Seiler, CFP®
Jeffrey P. Euting, CFP®
Ellen R. Green, CFP®
Spencer Engelke, CFP®
Pamela K. Ahlers, CFP®
Jason D. Lock, CFP®
Gordon R. Nearing, CFP®
Jonathan N. Kanaber, CFP®
Lisa Haffner, CFP®
Mark C. Hartnett, CFP®
Alexander B. Scull, CFP®
Charles M. Tyndal, CFP®
William A. LaRosa, CFP®
Amanda N. Phillips, CFP®
Andrew Ohman, CFP®
Sarah E. Berry, CFP®
Brian J. Tarquinio, CFP®
Brian R. Mah, CFP®
Kaitlyn P. Weatherly, CFP®
Paul S. Dolcimascolo, CFP®
Joshua C. Woodby, CFP®
William S. Meador, CFP®
Ryan Puckett, CFP®
Jonathan L. Groberg, CFP®
Mark  J. Womack, CFP®
Marc A. Jimenez, CFP®
Donald W. Rivers, CFP®
Ann E. Schueler, CFP®
John M. Yerkes, CFP®
Scott M. Fitzgerald, CFP®
Sonia Balfour-Fears, CFP®
Ryan B. Boyd, CFP®
Brett T. Holmes, CFP®
Peter V. Seriano, CFP®
Tamantha Hardy, CFP®
Brannon C. Ozark, CFP®
Richard W. Gaff, CFP®
Mary Jo Chorbagian, CFP®
Hratch K. Panosian, CFP®
Cigdem F. Gencer, CFP®
Justin M. Kasparek, CFP®
Tamir Assas, CFP®
Andrew Chaffee, CFP®
Kimberly K. Maez, CFP®
George S. Urist, CFP®
Joseph D. Anderson, CFP®
Gretchen Brown, CFP®
Jason Provost, CFP®
William C. Cibulas, CFP®
Terry L. Tolbert, CFP®
Elizabeth S. Thayer, CFP®
Lisa A. Chapman, CFP®
Rachel Trimble, CFP®
Scott Hirschberger, CFP®
Bryson Hutchings, CFP®
Catherine L. Stone, CFP®
John C. Williams, CFP®
Philip L. Gibbs, CFP®
Robert M. Fierman, CFP®
Louis B. Windawi, CFP®
Donald V. Creech, CFP®
Michael R. Vila, CFP®
Joseph J. Lutz, CFP®
Scott Malbasa, CFP®
Kurt Schrader, CFP®
Jennifer G. Preston, CFP®
Carol H. Larson, CFP®
Jason M. Gulbrandson, CFP®
David D. Meade, CFP®
Garrett Akins, CFP®
Dawn P. Robinson, CFP®
David E. Duncan, CFP®
Zachary J. Blumenthal, CFP®
Neil Kriegstein, CFP®
Eric Jasper, CFP®
Richard A. Vasterling, CFP®
Samuel Dreibelbis, CFP®
Steven Vitanza, CFP®
Peter Perfetti, CFP®
Darrin Englebert, CFP®
Michael S. Jacobs, CFP®
Javier E. Lopez, CFP®
Marlin B. Stovesand, CFP®
Ellen M. Kenney, CFP®
David J. Wilson, CFP®
Mark G. Peterson, CFP®
Christopher Oden, CFP®
Vincent J. Catania, CFP®
Morgan W. Alley, CFP®
Stanley K. Himeno-Okamoto, CFP®
Abigail Reid, CFP®
Michael V. Antley, CFP®
David Chin, CFP®
David G. Walker, CFP®
Jesse P. Roth, CFP®
Nancy W. Fletcher, CFP®
David J. Busselman, CFP®
Mary A. Spence, CFP®
Matthew R. Kleager, CFP®
David Birnbaum, CFP®
William F. Carothers, CFP®
Michael T. Nieberding, CFP®
Scott E. Miller, CFP®
Shane M. Reniker, CFP®
Jeffry J. Phillips, CFP®
Adam J. Glassberg, CFP®
Bradley W. Brescia, CFP®
Maxime B. Choiniere, CFP®
Blake L. Hedrick, CFP®
Kyle  J. Rolfes, CFP®
Brian J. Bova, CFP®
Ben L. Jennings, CFP®
Mitone Griffiths, CFP®
Kevin P. Maltezo, CFP®
Matthew Shiney, CFP®
Jay D. McClellan, CFP®
Tyler A. Townsend, CFP®
David A. Papale, CFP®
Serina Awadalla, CFP®
Peggy S. Sherman, CFP®
Jacob Hensley, CFP®
Thomas W. Manly, CFP®
James E. White, CFP®
Daniel H. Boone, CFP®
Shane Hall, CFP®
Elizabeth A. Bleidt , CFP®
Gregory J. Schwartz, CFP®
Edward W. Comar, CFP®
Chanley M. Christman, CFP®
Portia Culley, CFP®
Ronald M. Barsky, CFP®
Andrew Chusid, CFP®
Andrew Dodds, CFP®
Quinn McElwee, CFP®
Steven E. Ulrich, CFP®
Matthew J. Leatherwood, CFP®
Nathan R. Mateo, CFP®
George L. Williamson, CFP®
Lucas M. Stuart, CFP®
Joseph D. Weiss, CFP®
Kimberly A. St. Pierre, CFP®
Jeffrey P. Dominguez, CFP®
Michael S. Buckner, CFP®
GREGORY G. WAGNER, CFP®
Daniel R. Harsh, CFP®
Karen  L. Heston, CFP®
William D. McNally, CFP®
Philip J. Cole, CFP®
Anna V. Rifkin, CFP®
Darla D. Main, CFP®
Robert G. Schott, CFP®
Spencer A. Johnson, CFP®
Connie C. Guelich, CFP®
Wesley N. Price, CFP®
Robert F. Hartnett, CFP®
John P. Williams, CFP®
Tina M. Babicz, CFP®
Douglas G. Burnette, CFP®
Debra R. Knotts, CFP®
Michael B. Lindberg, CFP®
James M. Yancey, CFP®
Harmony D. Wagner, CFP®
Chad M. Bolen, CFP®
Daniel Oaklief, CFP®
Paul Stagias, CFP®
Stephanie L. Hayes, CFP®
Richard R. Rysiewski, CFP®
Charles R. Fridinger, CFP®
Justin Brownlee, CFP®
Holly C. Pecarek, CFP®
Daniel Esford, CFP®
Patrick  T. Hannon, CFP®
William LaChance, CFP®
Ryan A. Logan, CFP®
Matthew R. Grahn, CFP®
Michael J. Mackesy II, CFP®
Maria L. Callaghan , CFP®
Matthew D. Ritt, CFP®
Jennifer L. Jensen, CFP®
Troy E. Thompson, CFP®
Jun J. Mukaida, CFP®
Richard N. Dallen, CFP®
William A. Tyler, CFP®
Jacob Layden, CFP®
Amy L. Obert, CFP®
Michael S. Wroblewski, CFP®
Louis J. Kramarski, CFP®
Brian D. Eilers, CFP®
Justin G. Davis, CFP®
Vijay K. Khetarpal, CFP®
Taylor L. McBee, CFP®
Curtis J. Wiggins, CFP®
Troy D. Winegarner, CFP®
Rhonda G. Loy, CFP®
Eric E. Niergarth, CFP®
Richard D. Almond, CFP®
Michael G. Anderson, CFP®
Nathaniel  T. Klauser, CFP®
Christopher  Noonan, CFP®
Brandi J. Totta, CFP®
Grant H. Ulrick, CFP®
Hyrum L. Smith, CFP®
David E. Haddad, CFP®
Michael M. Sanson, CFP®
Robert M. Zyzo, CFP®
Gregory S. Wagner, CFP®
Donavan P. Mayes, CFP®
Jeremy T. Downin, CFP®
Jin-sub K. Hwang, CFP®
Andrew C. Craft, CFP®
Sean Fitts, CFP®
Paul F. Staib, CFP®
Steven N. Brown, CFP®
Jacquelyn R. Campbell, CFP®
Michael MacKelvie, CFP®
Christopher C. Pashley, CFP®
Joseph Vaughan, CFP®
James F. Caparelli, CFP®
Scott R. Cadieux, CFP®
Wendy W. Seale, CFP®
David S. Gilreath, CFP®
Janet W. Wilson, CFP®
Jeffrey L. Stouffer, CFP®
Berton K. Hamamoto, CFP®
Onari Tariah, CFP®
Laura L. Thompson, CFP®
Karl M. Anderson, CFP®
James H. Proctor, CFP®
Vincent M. Tarduogno, CFP®
Shaefer W. Oshefsky, CFP®
Benjamen M. Banks, CFP®
Charlene R. Lovitt, CFP®
Jason M. Kirke, CFP®
Marat Likhtenstein, CFP®
Brandon Steele, CFP®
Scott G. Read, CFP®
Wesley K. Yamamoto, CFP®
Jason E. Putman, CFP®
Todd S. Harvey, CFP®
Francisco R. Murillo, CFP®
Nicolas Pilkington, CFP®
Michael J. Carbino, CFP®
Timothy D. Ellis, CFP®
Christopher J. Shaver, CFP®
Richard C. Carter, CFP®
Byron Ramult, CFP®
W. S. Mowry, CFP®
Mark D. Cavasino, CFP®
John W. Brodnax, CFP®
VIJAY PATEL, CFP®
Kjell I. Christiansen, CFP®
James D. Vaughan, CFP®
K. C. Kovarik, CFP®
Jian Yang, CFP®
Michael M. Pirrello, CFP®
Kristopher W. Krause, CFP®
Frank J. Karpack, CFP®
Braden G. Botkin, CFP®
Nelly Berkovskaya, CFP®
David W. Boren, CFP®
russell w. spitz, CFP®
Henry W. Sladek, CFP®
James F. Marchesi, CFP®
Bradford W. Hess, CFP®
Cory J. Fosdyck, CFP®
Chris A. Kittell, CFP®
Richard P. Moran, CFP®
Andrew E. Jones, CFP®
Jeffrey D. Chinery, CFP®
Thomas A. DeNicola, CFP®
Katherine Bowes, CFP®
Ed McClellan, CFP®
Hanna Wexhler, CFP®
Christopher N. Habib, CFP®
Peter F. Gaertner, CFP®
Kristina W. Oswald, CFP®
Coleman E. Cook, CFP®
Jason A. Bunker, CFP®
Joseph J. Italiano, CFP®
Jeffrey C. Hanson, CFP®
Benjamin T. Gibson, CFP®
Steven P. Margulin, CFP®
Trent L. Doty, CFP®
Matthew E. McCumons, CFP®
Brian L. Bickford, CFP®
William J. Stordahl, CFP®
Catherine D. Bearce, CFP®
Cecil Staton, CFP®
Kristin C. Sullivan, CFP®
Bradley S. Sullivan, CFP®
Dennis P. Lamey, CFP®
Adam D. Lord, CFP®
Kenneth  Lazzini , CFP®
